date,open,high,low,close,volume,closeadj,change,pct_chg,sin_time_id,cos_time_id
2017-03-21,27.188,27.49,26.396,26.477,91348412,26.13,0.54,2.04,-0.8978,0.0
2017-03-22,26.365,27.065,26.325,27.017,61676424,26.663,-0.244,-0.903,-0.9681,0.0
2017-03-23,26.938,27.139,26.675,26.773,53394168,26.421,0.094,0.351,-0.9987,0.0
2017-03-24,27.242,27.323,26.605,26.867,43950184,26.515,0.195,0.726,-0.9885,0.0
2017-03-27,26.395,27.101,25.894,27.062,50664400,26.707,-0.14,-0.517,-0.7248,0.0
2017-03-28,27.075,27.223,26.817,26.922,43244436,26.569,-0.087,-0.323,-0.5713,0.0
2017-03-29,26.997,27.122,26.812,26.835,34999164,26.483,0.515,1.919,-0.3944,0.0
2017-03-30,26.907,27.5,26.85,27.35,52553396,26.991,-0.117,-0.428,-0.2013,0.0
2017-03-31,27.253,27.473,27.101,27.233,44080660,26.875,-0.138,-0.507,-0.0,0.0
2017-04-03,27.238,27.413,26.855,27.095,44523252,26.739,-1.9,-7.012,0.5713,-0.5
2017-04-04,25.85,26.105,25.085,25.195,127128016,24.864,-0.187,-0.742,0.7248,-0.5
2017-04-05,25.004,25.593,24.875,25.008,74704928,24.679,0.182,0.728,0.8486,-0.5
2017-04-06,25.06,25.312,24.602,25.19,63512016,24.859,-0.108,-0.429,0.9378,-0.5
2017-04-07,25.255,25.433,24.93,25.082,42515556,24.753,-0.64,-2.552,0.9885,-0.5
2017-04-10,25.09,25.157,24.4,24.442,75633056,24.122,0.088,0.36,0.8978,-0.5
2017-04-11,24.137,24.725,24.087,24.53,61814988,24.208,-0.202,-0.823,0.7908,-0.5
2017-04-12,24.53,24.675,24.275,24.328,41409184,24.008,-0.456,-1.874,0.6514,-0.5
2017-04-13,24.082,24.302,23.872,23.872,50689380,23.559,0.936,3.921,0.4853,-0.5
2017-04-17,24.003,24.81,23.95,24.808,49729220,24.482,0.015,0.06,-0.2994,-0.5
2017-04-18,24.663,24.885,24.4,24.823,37011776,24.497,0.097,0.391,-0.4853,-0.5
2017-04-19,25.0,25.245,24.852,24.92,38082636,24.593,0.395,1.585,-0.6514,-0.5
2017-04-20,25.067,25.362,24.852,25.315,40401432,24.983,0.105,0.415,-0.7908,-0.5
2017-04-21,25.21,25.448,25.09,25.42,34189560,25.086,0.318,1.251,-0.8978,-0.5
2017-04-24,25.74,25.87,25.527,25.738,37146468,25.4,0.447,1.737,-0.9885,-0.5
2017-04-25,25.885,26.332,25.668,26.185,38843888,25.841,-0.18,-0.687,-0.9378,-0.5
2017-04-26,26.323,26.348,25.985,26.005,32700580,25.664,0.405,1.557,-0.8486,-0.5
2017-04-27,26.08,26.495,25.898,26.41,31969860,26.063,-0.335,-1.268,-0.7248,-0.5
2017-04-28,26.34,26.41,26.017,26.075,34824628,25.733,0.585,2.244,-0.5713,-0.5
2017-05-01,26.185,26.712,26.113,26.66,30773332,26.31,-0.79,-2.963,0.2013,-0.866
2017-05-02,26.387,26.399,25.64,25.87,62997308,25.53,0.192,0.742,0.3944,-0.866
2017-05-03,25.8,26.16,25.65,26.062,33690532,25.72,-0.1,-0.384,0.5713,-0.866
2017-05-04,26.125,26.238,25.883,25.962,20978768,25.622,0.003,0.012,0.7248,-0.866
2017-05-05,25.845,26.038,25.688,25.965,22842944,25.624,-0.273,-1.051,0.8486,-0.866
2017-05-08,26.085,26.1,25.578,25.692,36523960,25.355,0.043,0.167,0.9987,-0.866
2017-05-09,25.75,26.233,25.665,25.735,84767168,25.397,4.588,17.828,0.9681,-0.866
2017-05-10,28.573,30.455,28.505,30.323,212909736,29.924,1.302,4.294,0.8978,-0.866
2017-05-11,30.012,32.608,29.977,31.625,193979232,31.21,0.348,1.1,0.7908,-0.866
2017-05-12,31.657,32.4,31.445,31.973,96261836,31.553,1.605,5.02,0.6514,-0.866
2017-05-15,32.39,33.602,32.345,33.578,108754192,33.137,0.625,1.861,0.1012,-0.866
2017-05-16,34.095,34.36,33.341,34.203,112069884,33.753,-2.273,-6.646,-0.1012,-0.866
2017-05-17,33.525,33.715,31.887,31.93,127136632,31.511,1.337,4.187,-0.2994,-0.866
2017-05-18,32.375,33.358,31.762,33.267,115603028,32.831,0.733,2.203,-0.4853,-0.866
2017-05-19,34.256,34.555,33.805,34.0,101837084,33.588,0.725,2.132,-0.6514,-0.866
2017-05-22,34.443,34.87,34.333,34.725,83660900,34.304,-0.467,-1.345,-0.9681,-0.866
2017-05-23,34.925,34.947,33.928,34.258,68124988,33.843,0.384,1.121,-0.9987,-0.866
2017-05-24,35.24,35.267,34.52,34.642,81737980,34.223,-0.077,-0.222,-0.9885,-0.866
2017-05-25,35.0,35.008,34.11,34.565,60822804,34.146,0.895,2.589,-0.9378,-0.866
2017-05-26,34.483,36.32,34.278,35.46,77913988,35.031,0.758,2.138,-0.8486,-0.866
2017-05-30,35.925,36.573,35.763,36.218,98965192,35.779,-0.131,-0.362,-0.2013,-0.866
2017-05-31,36.672,36.75,35.513,36.087,88731576,35.65,0.003,0.008,-0.0,-0.866
2017-06-01,36.248,36.258,35.63,36.09,50333868,35.653,-0.18,-0.499,0.2013,-1.0
2017-06-02,36.06,36.325,35.85,35.91,48745736,35.475,1.092,3.041,0.3944,-1.0
2017-06-05,35.745,37.133,35.627,37.002,81737768,36.554,-0.167,-0.451,0.8486,-1.0
2017-06-06,36.955,37.422,36.7,36.835,75872756,36.389,0.445,1.208,0.9378,-1.0
2017-06-07,37.083,37.47,36.925,37.28,61261172,36.828,2.705,7.256,0.9885,-1.0
2017-06-08,38.365,40.0,37.947,39.985,116174420,39.501,-2.585,-6.465,0.9987,-1.0
2017-06-09,41.185,42.125,35.688,37.4,369292784,36.947,0.092,0.246,0.9681,-1.0
2017-06-12,36.47,37.925,35.528,37.492,169753120,37.038,0.358,0.955,0.6514,-1.0
2017-06-13,38.6,38.693,36.413,37.85,167250320,37.392,0.08,0.211,0.4853,-1.0
2017-06-14,37.88,38.515,37.125,37.93,118464144,37.471,0.163,0.43,0.2994,-1.0
2017-06-15,36.74,38.4,36.625,38.093,96382448,37.631,-0.188,-0.494,0.1012,-1.0
2017-06-16,38.19,38.675,37.56,37.905,92495800,37.446,1.425,3.759,-0.1012,-1.0
2017-06-19,38.352,39.383,38.315,39.33,77817756,38.854,-0.057,-0.145,-0.6514,-1.0
2017-06-20,39.758,40.435,39.23,39.273,109544344,38.797,0.594,1.512,-0.7908,-1.0
2017-06-21,39.553,39.905,38.925,39.867,68265116,39.385,-0.274,-0.687,-0.8978,-1.0
2017-06-22,39.95,40.085,39.35,39.593,46913296,39.113,-1.135,-2.867,-0.9681,-1.0
2017-06-23,39.67,39.83,38.305,38.458,108858808,37.992,-0.42,-1.092,-0.9987,-1.0
2017-06-26,38.79,39.15,37.083,38.038,106395984,37.577,-1.393,-3.662,-0.8486,-1.0
2017-06-27,37.86,37.947,36.587,36.645,99949252,36.201,1.293,3.528,-0.7248,-1.0
2017-06-28,37.33,37.985,36.438,37.938,99494716,37.478,-1.268,-3.342,-0.5713,-1.0
2017-06-29,37.65,37.68,36.02,36.67,106442524,36.226,-0.53,-1.445,-0.3944,-1.0
